time_s,x [1],y [1],z [1]
0.0,0.11902881890019917,0.0,-2.7928978525218816e-17
14.880455629906683,0.11879946184755219,0.0,-2.786967242463278e-17
29.760911259813366,0.1181122767428481,0.0,-2.769200433895337e-17
44.64136688972005,0.11696991831450625,0.0,-2.7396723866503952e-17
59.52182251962673,0.11537679968557438,0.0,-2.6985076842499394e-17
74.40227814953342,0.1133390752838187,0.0,-2.6458800111389985e-17
89.2827337794401,0.11086461700879767,0.0,-2.5820114238737373e-17
104.16318940934678,0.10796298374843263,0.0,-2.5071714193064115e-17
119.04364503925346,0.10464538436340293,0.0,-2.421675803659855e-17
133.92410066916014,0.10092463428304654,0.0,-2.3258853672154705e-17
148.80455629906683,0.09681510588124273,0.0,-2.2202043701508675e-17
163.68501192897352,0.09233267282489074,0.0,-2.1050788458523757e-17
178.5654675588802,0.08749464861099084,0.0,-1.980994728790508e-17
193.44592318878688,0.08231971953088069,0.0,-1.8484758147797144e-17
208.32637881869357,0.07682787232180385,0.0,-1.708081562144536e-17
223.20683444860023,0.07104031678659506,0.0,-1.5604047429795963e-17
238.08729007850692,0.06497940368178343,0.0,-1.4060689543178433e-17
252.96774570841362,0.05866853819276559,0.0,-1.2457259996077644e-17
267.8482013383203,0.052132089331807234,0.0,-1.0800531514431507e-17
282.72865696822697,0.0453952956104368,0.0,-9.097503069863302e-18
297.60911259813366,0.03848416735223024,0.0,-7.35537047975622e-18
312.48956822804035,0.0314253860249983,0.0,-5.581496176079029e-18
327.37002385794705,0.024246200982925608,0.0,-3.783378269362511e-18
342.2504794878537,0.016974324019231525,0.0,-1.9686190371908316e-18
357.1309351177604,0.009637822138384048,0.0,-1.4489296899743887e-19
372.01139074766706,0.0022650089637704777,0.0,1.6800854991686748e-18
386.89184637757376,-0.0051156647980184254,0.0,3.498594424920946e-18
401.77230200748045,-0.01247572141151405,0.0,5.302936839113766e-18
416.65275763738714,-0.0197867662585643,0.0,7.085473128787158e-18
431.5332132672938,-0.027020597649347958,0.0,8.838653187917945e-18
446.41366889720047,-0.03414931587251079,0.0,1.0555048201356762e-17
461.29412452710716,-0.04114543106173274,0.0,1.2227381928832419e-17
476.17458015701385,-0.04798196946068399,0.0,1.3848561357961041e-17
491.05503578692054,-0.05463257767459954,0.0,1.5411706597800334e-17
505.93549141682723,-0.061071624504573846,0.0,1.6910179887628106e-17
520.8159470467339,-0.06727429997011794,0.0,1.8337613599286516e-17
535.6964026766406,-0.07321671113649389,0.0,1.9687937115603603e-17
550.5768583065473,-0.07887597437580034,0.0,2.095540247206329e-17
565.4573139364539,-0.08423030370468572,0.0,2.2134608654027984e-17
580.3377695663606,-0.08925909485685081,0.0,2.3220524447400085e-17
595.2182251962673,-0.09394300476511469,0.0,2.4208509746617014e-17
610.098680826174,-0.09826402614569216,0.0,2.509433523028687e-17
624.9791364560807,-0.10220555689639474,0.0,2.5874200321558623e-17
639.8595920859874,-0.10575246404065047,0.0,2.6544749357454905e-17
654.7400477158941,-0.10889114197045582,0.0,2.71030858988485e-17
669.6205033458007,-0.11160956476355065,0.0,2.7546785120502804e-17
684.5009589757074,-0.11389733237315111,0.0,2.787390422859138e-17
699.381414605614,-0.11574571051239851,0.0,2.808299086132744e-17
714.2618702355207,-0.1171476640801941,0.0,2.817308943673806e-17
729.1423258654274,-0.11809788400018949,0.0,2.814374542017491e-17
744.0227814953341,-0.11859280737029793,0.0,2.799500749282629e-17
758.9032371252408,-0.11863063084607872,0.0,2.7727427611250925e-17
773.7836927551475,-0.1182113172076275,0.0,2.7342058956753257e-17
788.6641483850542,-0.11733659508607491,0.0,2.6840451782228177e-17
803.5446040149609,-0.11600995185235319,0.0,2.6224647172882487e-17
818.4250596448676,-0.11423661969743074,0.0,2.549716874595526e-17
833.3055152747743,-0.11202355495963481,0.0,2.4661012323172264e-17
848.185970904681,-0.10937941078088202,0.0,2.3719633618146545e-17
863.0664265345875,-0.10631450319950869,0.0,2.2676933989240863e-17
877.9468821644942,-0.10284077081284326,0.0,2.1537244316504748e-17
892.8273377944009,-0.09897172816758772,0.0,2.0305307069155862e-17
907.7077934243076,-0.09472241306037903,0.0,1.8986256637657685e-17
922.5882490542143,-0.09010932795449163,0.0,1.7585598011723784e-17
937.468704684121,-0.0851503757414237,0.0,1.610918389252115e-17
952.3491603140277,-0.0798647900979987,0.0,1.4563190333923344e-17
967.2296159439344,-0.07427306071052026,0.0,1.2954091013849796e-17
982.1100715738411,-0.06839685365736428,0.0,1.1288630242495544e-17
996.9905272037478,-0.06225892726010284,0.0,9.573794819582716e-18
1011.8709828336545,-0.055883043730748996,0.0,7.816784857625317e-18
1026.751438463561,-0.04929387695893447,0.0,6.024983692577335e-18
1041.6318940934677,-0.04251691679770806,0.0,4.20592700710674e-18
1056.5123497233744,-0.03557837022012559,0.0,2.3672712950929205e-18
1071.3928053532811,-0.02850505973082849,0.0,5.167617987648312e-19
1086.2732609831878,-0.02132431942734533,0.0,-1.3377999478268289e-18
1101.1537166130945,-0.014063889114841657,0.0,-3.1885888335925724e-18
1116.0341722430012,-0.006751806885471104,0.0,-5.027789006872589e-18
1130.9146278729079,0.0005836994206985385,0.0,-6.8476266964350165e-18
1145.7950835028146,0.007914321452008146,0.0,-8.640402879827896e-18
1160.6755391327213,0.015211779855040033,0.0,-1.0398525662463449e-17
1175.555994762628,0.022447933633307743,0.0,-1.2114542231935444e-17
1190.4364503925347,0.02959488893088251,0.0,-1.378117025375521e-17
1205.3169060224413,0.03662510681942177,0.0,-1.5391328576939858e-17
1220.197361652348,0.0435115096710829,0.0,-1.693816712067674e-17
1235.0778172822547,0.0502275857054468,0.0,-1.8415095816621547e-17
1249.9582729121614,0.05674749130581562,0.0,-1.9815812485241827e-17
1264.838728542068,0.06304615070905897,0.0,-2.1134329528982078e-17
1279.7191841719748,0.06909935268352546,0.0,-2.2364999329879943e-17
1294.5996398018815,0.0748838438213775,0.0,-2.350253824458865e-17
1309.4800954317882,0.08037741808499198,0.0,-2.4542049095534538e-17
1324.3605510616949,0.08555900226175098,0.0,-2.547904206313645e-17
1339.2410066916013,0.09040873699756602,0.0,-2.6309453890612656e-17
1354.121462321508,0.09490805309677366,0.0,-2.7029665319871767e-17
1369.0019179514147,0.09903974279453989,0.0,-2.7636516684297732e-17
1383.8823735813214,0.1027880257275483,0.0,-2.812732159186737e-17
1398.762829211228,0.1061386093494382,0.0,-2.849987863994909e-17
1413.6432848411348,0.10907874355912975,0.0,-2.8752481111289535e-17
1428.5237404710415,0.11159726933273498,0.0,-2.888392460907086e-17
1443.4041961009482,0.11368466117311907,0.0,-2.889351259747636e-17
1458.2846517308549,0.11533306321525488,0.0,-2.8781059822903786e-17
1473.1651073607616,0.11653631885021096,0.0,-2.854689359977678e-17
1488.0455629906683,0.11728999375583163,0.0,-2.8191852953788336e-17
1502.926018620575,0.1175913922478121,0.0,-2.771728562433044e-17
1517.8064742504816,0.11743956689083744,0.0,-2.7125042936783567e-17
1532.6869298803883,0.11683532133564543,0.0,-2.6417472564220607e-17
1547.567385510295,0.11578120637418209,0.0,-2.559740920688677e-17
1562.4478411402017,0.11428150923134986,0.0,-2.4668163226512427e-17
1577.3282967701084,0.11234223613809076,0.0,-2.3633507281062936e-17
